"kfolds","hrs","ntrees","acuracia_total_treino","acuracia_total_teste","bal_acc_nevoa","bal_acc_visBaixa","bal_acc_visMedia","bal_acc_visCompleta","runtime_sec"
5,5,161,0.810494157144973,0.817673025382311,0.563770557224171,0.666897414328336,0.58729606237279,0.669106377154938,1575.751
5,5,181,0.811105091665688,0.817791265962478,0.574408855096511,0.667924762571864,0.587520286462337,0.669094026709578,1734.87
5,5,201,0.811114939513,0.818067160649535,0.574408855096511,0.66948817335635,0.588860773446445,0.669132928586321,1966.494
5,9,161,0.80476562427468,0.811312573906188,0.524331023246274,0.630859914128133,0.576765943414298,0.632352042978451,1607.361
5,9,181,0.80474591498663,0.811076074103272,0.524331023246274,0.628772871777958,0.576901659315677,0.632074656961985,1781.401
5,9,201,0.804755775943065,0.811351990540008,0.524331023246274,0.628876846159439,0.578064112080967,0.632756255293619,1992.368
5,13,161,0.80613591869147,0.810974888634841,0.551203087289632,0.619461873231212,0.577782696724348,0.628180068596931,1661.316
5,13,181,0.806500560429147,0.810935467339457,0.551203087289632,0.6205235808339,0.577448123103157,0.627990116663197,1841.065
5,13,201,0.806352739313211,0.811211416407143,0.551203087289632,0.620796889998039,0.578049586923464,0.62848346373488,2033.793
5,17,161,0.805153036920971,0.821439835988015,0.565749988570099,0.632655650264532,0.595961902106265,0.64436655631538,1695.785
5,17,181,0.805133326662212,0.821676391736319,0.565749988570099,0.633101147457842,0.596804641000545,0.64478923048638,1898.661
5,17,201,0.805291037878166,0.821636965778268,0.578907883306941,0.632459520557419,0.596669754979233,0.645352042787339,2083.883
5,21,161,0.810532760759001,0.821017350157729,0.563770529145313,0.64701119772162,0.589627707581227,0.652790688472044,1675.152
5,21,181,0.810513039812052,0.820701892744479,0.563770529145313,0.646056016348119,0.587978339350181,0.650963714550205,1888.161
5,21,201,0.810483465679177,0.821332807570978,0.56375077644907,0.64791025178692,0.588894968411552,0.651396948244415,2097.056
