"clusters","hrs","ntrees","acuracia_total_treino","acuracia_total_teste","bal_acc_nevoa","bal_acc_visBaixa","bal_acc_visMedia","bal_acc_visCompleta","runtime_sec"
2,19,61,0.806185967374902,0.838953154483551,0.552160918131723,0.656330421757571,0.616401148145541,0.671941080763435,118.626
2,19,81,0.806596176874063,0.840101731068997,0.552160918131723,0.659277970129997,0.618165547604768,0.672945119157586,158.421999999999
2,19,101,0.806975619666929,0.841086225285093,0.557974871620095,0.660372185276956,0.618547777057084,0.674406757378558,194.17
2,19,121,0.807078171147772,0.841045204692756,0.563788825108467,0.660751447536677,0.618464543839507,0.675772853796886,231.205
2,19,141,0.807098678499174,0.840881122323406,0.56380940801642,0.660974647729289,0.617222012633564,0.674853514925156,269.898000000001
2,19,161,0.807375574859367,0.840388875215358,0.563829990924374,0.658563610801825,0.617590828268786,0.673155323479276,307.293
2,19,181,0.807457616885404,0.840799081138732,0.563829990924374,0.658965252436714,0.618571050190579,0.674129924001485,342.709999999999
2,21,1,0.687929502748662,0.720193648970214,0.602804675374621,0.625119454056408,0.592300533631917,0.647180332580112,6.18100000000049
2,21,21,0.806131657829686,0.830393041765816,0.566378232862225,0.658613278094082,0.617994045876242,0.677615211374824,43.0299999999988
2,21,41,0.808121518402803,0.832075162057931,0.585528863982859,0.657841032744367,0.613469359043073,0.67158305405936,81.4529999999995
2,21,61,0.808603607136887,0.83326495445967,0.580787561635557,0.659501307323737,0.610452986561488,0.671831638776955,117.109000000002
2,21,81,0.80844974162549,0.834659883482399,0.566522449764446,0.65958038414676,0.615139310392806,0.672431361621046,155.719000000001
2,21,101,0.808911311647544,0.83502912940018,0.595052673506668,0.65928911978912,0.613832075634748,0.671679012505933,194.831999999999
2,21,121,0.808993370504216,0.834823992779191,0.580746356806351,0.659491357890778,0.613381381868223,0.670274669363832,234.302
2,21,141,0.808993372187526,0.834988102075983,0.580766959220954,0.661621806684508,0.612883869430412,0.671436010825229,270.446
2,21,161,0.808983117881442,0.834823992779191,0.580766959220954,0.659244177988751,0.613073116245326,0.671185227786858,306.312000000002
2,21,181,0.808890801772894,0.83502912940018,0.580766959220954,0.659266648888935,0.613617447354423,0.671428229467562,343.457999999999
2,23,1,0.696694570971316,0.728671673027207,0.566575624038249,0.632699580346392,0.604151744749345,0.662014454233674,6.28099999999904
2,23,21,0.810045549673766,0.83515942385818,0.590703168582992,0.67523972011915,0.624220581006525,0.68927525173259,43.6940000000031
2,23,41,0.810958594936189,0.838688497681481,0.579360124451966,0.679607332002879,0.623396321622792,0.687884472806891,80.5089999999982
2,23,61,0.812353810168657,0.839714391234765,0.573698898502757,0.682855643306346,0.62346795141906,0.689406952892024,119.806999999997
2,23,81,0.812487176330584,0.840370963108868,0.585103719331614,0.682250187853563,0.62419067975781,0.688157886083208,157.632000000001
2,23,101,0.812405104846321,0.839345069555583,0.585041942633784,0.68142138190508,0.620999513771707,0.68607991099208,194.756000000001
2,23,121,0.812620542492511,0.839509212524108,0.579380716684576,0.680390680257131,0.621419555122699,0.685323704082815,233.332999999999
2,23,141,0.812702613976774,0.839673355492634,0.585083127099004,0.681734721206781,0.620326161534905,0.684418906608758,271.121999999999
2,23,161,0.812784685461037,0.838934712134269,0.573719490735367,0.682451851907414,0.618229606314923,0.683561197339875,306.942000000003
2,23,181,0.812989864171693,0.83926299807132,0.573698898502757,0.682362094747028,0.619115413583875,0.68356897079051,349.167999999998
4,1,1,0.711149475826588,0.736017070868727,0.57725971672576,0.650128739808144,0.610682205027397,0.680579998571616,30.7380000000012
4,1,21,0.824685006308715,0.835241495342443,0.562294077673901,0.676784498540191,0.624964345861268,0.685872768142263,226.888000000003
4,1,41,0.826757302031841,0.8389757478764,0.573698898502757,0.683011618020352,0.624951829593564,0.686985155967499,426.494000000002
4,1,61,0.827075354294967,0.840206820140342,0.585021350401174,0.683773279832756,0.624445207821946,0.687555750373402,622.859999999997
4,1,81,0.827516481787289,0.839714391234765,0.585021350401174,0.682742578184807,0.624724423937057,0.685488289050241,823.143
4,1,101,0.82727027070126,0.839098855102795,0.602087397179239,0.680995209127455,0.621183629217902,0.684134979564473,1015.35
4,1,121,0.827608819784572,0.839304033813452,0.590723760815602,0.68195853499371,0.621697554059483,0.683968101781077,1223.746
4,1,141,0.827003553531551,0.839509212524108,0.590703168582992,0.68137592421085,0.620394139796192,0.683639379347589,1415.6
4,1,161,0.827301042456476,0.839878534203291,0.596364394532201,0.681241404293077,0.621419555122699,0.684006969034253,1610.875
4,1,181,0.827588290125429,0.839304033813452,0.590723760815602,0.680883070588375,0.620392922617865,0.683631605896954,1815.216
4,3,1,0.715982845379156,0.727933029668842,0.552436325715974,0.635669913853719,0.600623024372549,0.670005518416403,30.5380000000005
4,3,21,0.824166676366514,0.832081743198326,0.544327819546418,0.674265081789701,0.619251340527229,0.684867039437044,228.623
4,3,41,0.826587861774322,0.835692888505889,0.544410232600646,0.679315967885632,0.619340197494886,0.682827968089705,424.700000000001
4,3,61,0.826936669371442,0.836472567606385,0.549360727650151,0.676973596647213,0.618445990879726,0.682003862591731,619.632999999998
