"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
201,11,1440.27694812384,0.299628193499444,930.376138136625,1409.56438354196,0.334942944170909,905.740399045332,1408.627
1,13,1681.2747121303,0.05835337721032,1110.77932599765,1682.10098717163,0.0608048542628205,1091.64557439122,16.989999999998
21,13,1464.64349573241,0.273515553896038,934.686202449908,1437.68387763771,0.300082740490351,907.348685486545,173.072
41,13,1444.8937404989,0.293594421448218,929.515390951413,1418.67479686748,0.320284289857765,904.186114609471,330.065000000002
61,13,1439.16752453811,0.299963415070968,928.442623180167,1412.2309271965,0.327782607529219,903.261105044252,482.697
81,13,1435.72198521326,0.303888292237185,927.604028729284,1408.68796144717,0.331919286003054,902.763528989069,647.735000000001
101,13,1433.4104015446,0.306524915152933,926.848218108557,1406.6136853087,0.334439901314018,902.391152851982,794.466999999997
121,13,1432.27212358909,0.30787482514332,926.605538146938,1405.05363188672,0.336355604012899,902.179818303434,956.291000000005
141,13,1430.9837758358,0.309350426137091,926.162208731927,1404.1342416164,0.337536351692214,902.072294579234,1111.032
161,13,1430.50930502391,0.30991324208066,925.984609458756,1403.82990373283,0.338003260782921,901.959194807124,1258.55499999999
181,13,1429.83322153648,0.310712801063247,925.84466929406,1402.73013914186,0.339284066770227,901.324439728483,1431.557
201,13,1429.54011668002,0.311090400435766,925.893366122254,1402.98474695494,0.339064707111407,901.558785366297,1562.037
1,15,1691.83993425613,0.0410908855328858,1150.02409050439,1676.33271207607,0.0288028518201442,1140.93038621834,16.7710000000006
21,15,1483.94479261281,0.259921111758243,953.149489712206,1438.4227882575,0.279691499002762,918.938389611527,172.351000000002
41,15,1465.41380257928,0.278517732480059,949.781380642543,1419.40538186433,0.299355587089481,914.723898497361,327.764000000003
61,15,1459.04727384619,0.285481462548876,948.721388325898,1414.33687597207,0.305043738779991,913.321436725533,482.726999999999
81,15,1455.66333049361,0.289285216217471,947.960561333282,1410.48261215267,0.309527068138039,912.568359067691,635.951000000001
101,15,1454.16333313532,0.291059686892485,947.937434201755,1408.47275274768,0.311936113373707,912.577459214191,798.424999999996
121,15,1452.6699299551,0.29277083843374,947.310247579527,1408.66439371819,0.311819543551984,912.649174856748,954.047999999995
141,15,1451.47444245389,0.294145328847298,947.012411510758,1407.9244301476,0.312819214053222,912.950852209987,1091.101
161,15,1450.512623804,0.295253221110099,946.823727197301,1407.28152512791,0.3136329130558,912.880476198637,1262.663
181,15,1450.15158274232,0.295697037622725,946.748244435791,1406.9359617945,0.314088192300279,913.042444927413,1422.695
201,15,1449.78890322174,0.296122284001152,946.608637644271,1406.99799897209,0.314076056041091,913.289936959533,1569.27
1,17,1690.5774062127,0.0392741096352223,1153.02655186671,1678.5865666386,0.0396690535608612,1136.47702158987,16.5930000000008
21,17,1489.15391755816,0.251317558246744,956.894705898524,1435.61729625425,0.29462070684397,917.859162257148,173.008999999998
41,17,1471.53073509069,0.269242556015834,954.020424078778,1418.66531926678,0.313327265719102,915.506819346446,329.536999999997
61,17,1465.84265213224,0.275538008886923,952.951493624078,1413.37340225643,0.319891915076378,915.054072921924,481.013999999996
81,17,1462.30767911093,0.279530716984255,951.987958229368,1410.97150441132,0.323023951882429,915.540474854522,645.94200000001
101,17,1459.97672731794,0.28218424972802,951.219908425961,1408.57539593285,0.326026296923131,915.503812896564,795.751999999993
121,17,1458.70495111553,0.283711323186882,951.105752089215,1409.01451488481,0.325711161371544,916.274349010804,948.974000000002
141,17,1457.55017363445,0.285043861236714,950.545288363333,1408.71425042574,0.326125918770864,916.533451131279,1104.29300000001
161,17,1456.87951279977,0.285842899316302,950.347115617056,1408.0009836223,0.327034591975957,916.136319232476,1268.30099999999
181,17,1455.88039487908,0.287002363069584,949.824631173129,1407.44922015761,0.327795450502901,916.186362947717,1424.95300000001
201,17,1455.41095000094,0.287548702891179,949.760061953613,1407.38195488932,0.327989383750871,916.426413957516,1572.942
1,19,1705.40357031004,0.0257342333625199,1166.37047498107,1684.14011150009,0.0280363682199926,1158.0771740446,17.323000000004
21,19,1481.73178655209,0.259068873038482,954.808883697435,1431.10428772327,0.297745092225942,911.193224514108,177.972999999998
41,19,1463.55747975588,0.278326013231221,951.567958237641,1417.19841581659,0.313967568376297,911.945271532025,334.962999999989
61,19,1457.81783562681,0.285032440620512,950.801127634785,1409.95631304451,0.322867318848428,910.908437904615,489.796000000002
81,19,1455.18784683074,0.288274269162212,950.385250322311,1406.19962746595,0.3275966982718,910.413575056041,647.12000000001
