"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
141,3,1334.50337726074,0.398356625275804,806.699652000837,1328.07275277584,0.397700223603624,796.391783640051,1282.739
161,3,1333.70307326306,0.399135269775197,806.371913335993,1327.67997810215,0.398107211922928,796.41814092025,1462.223
181,3,1333.01388953335,0.399803608477536,806.12581720381,1327.39612497492,0.398369730676879,796.177191675166,1619.706
201,3,1332.59503724478,0.400217203072461,805.9786438874,1326.65564689664,0.399102617761348,796.086653154951,1815.64
1,5,1670.44136451522,0.0633211461990842,1122.19612555145,1656.39594548156,0.0561234362236822,1112.72574922481,20.2910000000011
21,5,1440.79669819938,0.300873527236907,904.934803041602,1413.38327035269,0.308166627917772,881.296014760009,221.331000000002
41,5,1425.08852279151,0.316275283374651,902.425002604525,1397.21389035829,0.324528815382724,878.663326478955,419.196
61,5,1417.90122397119,0.323756952493623,899.984134451323,1389.29690398474,0.332953820128294,877.48055253481,621.815999999999
81,5,1415.29466062819,0.326646559563843,899.508677685822,1385.26753097236,0.337405588089179,877.236330955615,813.047000000002
101,5,1413.42182269178,0.328685041400427,898.940128307132,1382.64041507541,0.340346903370641,876.676793610542,1027.22
121,5,1412.5971603667,0.329628843214299,899.021739334247,1380.39094776706,0.342824495296471,876.041289413859,1215.543
141,5,1411.64361983352,0.330676986809623,898.681657152541,1380.59642863589,0.34261035757372,876.491499248085,1420.979
161,5,1410.98737544644,0.33141285591247,898.435211105883,1379.45061371048,0.34390868240726,876.002460341534,1618.587
181,5,1410.65594671217,0.331798768430127,898.359069100314,1379.11016225354,0.344282101689564,875.903860195364,1838.662
201,5,1410.10973186553,0.332402430527718,898.266236596471,1378.46233534044,0.344980510872173,875.599573473926,2030.156
1,7,1691.83993425613,0.0410908855328858,1150.02409050439,1676.33271207607,0.0288028518201442,1140.93038621834,20.6399999999994
21,7,1483.94479261281,0.259921111758243,953.149489712206,1438.4227882575,0.279691499002762,918.938389611527,223.989999999998
41,7,1465.41380257928,0.278517732480059,949.781380642543,1419.40538186433,0.299355587089481,914.723898497361,431.279999999999
61,7,1459.04727384619,0.285481462548876,948.721388325898,1414.33687597207,0.305043738779991,913.321436725533,622.017
81,7,1455.66333049361,0.289285216217471,947.960561333282,1410.48261215267,0.309527068138039,912.568359067691,837.994999999999
101,7,1454.16333313532,0.291059686892485,947.937434201755,1408.47275274768,0.311936113373707,912.577459214191,1030.885
121,7,1452.6699299551,0.29277083843374,947.310247579527,1408.66439371819,0.311819543551984,912.649174856748,1229.002
141,7,1451.47444245389,0.294145328847298,947.012411510758,1407.9244301476,0.312819214053222,912.950852209987,1434.111
161,7,1450.512623804,0.295253221110099,946.823727197301,1407.28152512791,0.3136329130558,912.880476198637,1642.383
181,7,1450.15158274232,0.295697037622725,946.748244435791,1406.9359617945,0.314088192300279,913.042444927413,1849.367
201,7,1449.78890322174,0.296122284001152,946.608637644271,1406.99799897209,0.314076056041091,913.289936959533,2050.282
1,9,1690.4377875349,0.0366581521488832,1151.70965113275,1677.86836526288,0.0526804708473755,1130.81935741685,20.9910000000018
21,9,1481.88865140266,0.255610446039065,962.953441943119,1448.31920450328,0.294108672617482,934.377958044881,229.741000000002
41,9,1462.61948281756,0.276745905306296,958.341543337331,1429.78401964169,0.315751914073603,930.283032942084,433.762000000002
61,9,1456.80894593955,0.283834238372184,957.407794895905,1426.28711449505,0.320754047962986,930.845607843796,658.485999999997
81,9,1453.39883221613,0.288075131825739,956.778643041934,1422.86208235403,0.325515543799699,930.799931185785,856.409
101,9,1451.38603552213,0.290636369024121,956.267629948666,1419.8066903559,0.3293778053626,929.534785254779,1083.21
121,9,1449.89711381825,0.292538757964086,956.1235055429,1417.71411588939,0.332190268749935,928.975725258085,1274.503
141,9,1448.92185942257,0.2938335859335,956.06194543054,1416.0458545819,0.33435450931055,927.877320313077,1487.442
161,9,1448.37433709098,0.294581107870411,956.024083702493,1415.08075293302,0.33554705636811,927.096178619255,1685.724
181,9,1447.74403960769,0.295375818980419,955.892340831036,1415.03845812633,0.335810486511642,927.417024892659,1918.897
201,9,1447.29799733709,0.295987949381476,955.895120051985,1414.86040704254,0.336100707163659,927.320768307103,2137.836
1,11,1718.7910677979,0.0358326192820467,1145.77470320455,1671.12016782012,0.0517656140090648,1103.97496942802,20.926999999996
