"hrs","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
45,1371.39189857031,0.359349080073085,905.899993535819,1502.42318626079,0.243150120486953,983.234029281705,48.6709999999985
46,1360.67212355396,0.374167174075388,900.103775601364,1463.11799204476,0.259742488172373,965.53688395593,48.8189999999995
47,1360.99261559774,0.372096764958601,899.419052190201,1475.535460966,0.255764914450335,974.098538113313,48.5140000000029
48,1358.16405608669,0.371510603786707,896.839214775829,1487.9309304262,0.258376045641205,978.00766077242,48.9500000000007
49,1370.36239116882,0.363686355852978,905.164198579821,1478.88560218119,0.251184328642143,977.977977760958,48.9879999999976
50,1360.08564941322,0.373781206672146,898.736828680785,1461.47081604721,0.265937046552694,961.767397077058,48.8479999999981
51,1343.54633148527,0.388020585406616,887.463194451905,1471.43625677751,0.26034748908731,966.543627630323,48.0999999999985
52,1350.00545896369,0.381515083761237,893.011323417289,1461.39152655252,0.273306881053586,960.52123541163,48.2419999999984
53,1371.99640631123,0.362415831734777,909.596375329355,1469.5521180204,0.259504235323749,967.137187177136,48.2879999999968
54,1367.70567381349,0.367877223227877,905.514774946799,1458.42192735593,0.263708061664444,959.393801956652,48.3189999999995
55,1362.8197175256,0.366775022558533,899.997061712406,1489.89976154262,0.258455862493213,981.423928459269,49.0709999999999
56,1364.92816545571,0.367735127833666,905.704279748768,1472.82963246158,0.262077243929886,964.392116373659,48.1990000000005
57,1363.07852962747,0.370848727567457,903.736874452342,1473.02155047938,0.255279653506384,972.798265304857,48.3220000000001
58,1357.64127167345,0.371945037566619,898.143456052213,1488.78880762739,0.25800966391414,976.897518158109,48.3509999999987
59,1347.35771048774,0.382627625560049,892.014772637743,1469.1263307138,0.271962371944119,966.745339706744,49.1010000000024
60,1367.18377183535,0.370163505123095,906.663776063584,1468.81670037158,0.244399531348232,965.515479118251,48.4340000000011
