"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
121,14,2211.19194484498,0.255992463649788,1835.24117422278,2173.10158720721,0.292923545316737,1792.80476964177,257.205
141,14,2209.06263811646,0.257621841226881,1832.89690510642,2171.21504159827,0.294569438436629,1792.69440534127,300.430999999999
161,14,2207.66565527626,0.258710273188039,1832.01185100014,2168.41887537522,0.296916522975977,1790.98600821113,341.586000000001
181,14,2206.12048643765,0.259900179573121,1830.46972625875,2169.74560737434,0.296162240483664,1792.63994227964,385.527
201,14,2205.15410743742,0.260680873742786,1829.95655930962,2169.32983618269,0.296600552286592,1792.65470379671,426.334000000001
1,16,2537.74969614462,0.0228501505133879,2172.49755845755,2544.83754679868,0.0247724539612886,2141.04625566363,4.41200000000026
21,16,2236.61771356082,0.237787211296662,1835.58335182142,2220.57267711664,0.255582577963348,1819.09481153047,46.6169999999984
41,16,2208.92099602388,0.256611553108178,1816.45698287659,2197.35878877561,0.271820999483898,1809.58406417902,87.2780000000021
61,16,2197.18612232053,0.265203721155712,1808.44846902966,2185.64085891497,0.280357658932781,1799.04264032464,129.116999999998
81,16,2193.83363001112,0.267924801671348,1806.51956664957,2177.71724306246,0.286209230006017,1792.16348834746,171.345000000001
101,16,2190.239028191,0.270591121245597,1803.85155346367,2170.7357478434,0.291253576927323,1786.24922238628,212.735000000001
121,16,2189.0544579744,0.271612767129978,1803.27392350222,2170.75449849598,0.291584628911496,1786.85228862849,261.199000000001
141,16,2186.34994805829,0.273672685790995,1801.08386972257,2170.6381385319,0.291823404920826,1786.71349835267,299.939000000002
161,16,2186.17708719643,0.273853862612015,1801.36310190321,2169.54011048249,0.292815070387804,1786.82175613556,337.934999999998
181,16,2184.94413486633,0.274878542516137,1800.56982131256,2167.7659942176,0.294008883275888,1785.22843031466,387.535
201,16,2185.05332910469,0.27479827395486,1800.90746442607,2167.20398866686,0.294488644429627,1784.30587568089,429.52
1,18,2525.79490357161,0.0331063502198742,2160.71517850655,2547.48706009183,0.0104906669363718,2189.77490282107,4.48399999999674
21,18,2223.18193511283,0.247256375308278,1820.55995166481,2229.44118130823,0.242745662992048,1831.34687473675,46.9879999999976
41,18,2199.18719871127,0.263935498069654,1805.65614374558,2205.02100054757,0.258838594093947,1815.87078625714,88.4989999999998
61,18,2188.97785127207,0.271611948668073,1800.28203811518,2196.8473919633,0.264616469644273,1813.37471051509,131.379999999997
