"horas","ntrees","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_visivel","sens_nevoa","sens_visivel","spec_nevoa","spec_visivel","ppv_nevoa","ppv_visivel","npv_nevoa","npv_visivel","bal_acc_nevoa","bal_acc_visivel","runtime_sec"
1,161,0.996819360344252,0.996606223562973,0.204819277108434,0.204819277108434,0.204819277108434,0.999851839657585,0.999851839657585,0.204819277108434,0.84999999999997,0.996750582597565,0.996750582597565,0.84999999999997,0.602335558383009,0.602335558383009,114.367
1,181,0.996802962869903,0.996606223562973,0.204819277108434,0.204819277108434,0.204819277108434,0.999851839657585,0.999851839657585,0.204819277108434,0.84999999999997,0.996750582597565,0.996750582597565,0.84999999999997,0.602335558383009,0.602335558383009,125.995
1,201,0.996835753786875,0.996573433452471,0.204819277108434,0.204819277108434,0.204819277108434,0.999818915137048,0.999818915137048,0.204819277108434,0.822580645161315,0.996750475940393,0.996750475940393,0.822580645161315,0.602319096122741,0.602319096122741,140.778
4,1,0.993163060861899,0.992720356768101,0.072289156626506,0.072289156626506,0.072289156626506,0.996493423110482,0.996493423110482,0.072289156626506,0.0779220779220773,0.996198219252481,0.996198219252481,0.0779220779220773,0.534391289868494,0.534391289868494,4.3069999999999
4,21,0.996376581487425,0.995983079748164,0.0240963855421687,0.0240963855421687,0.0240963855421687,0.999967074395404,0.999967074395404,0.0240963855421687,0.749999999999823,0.996015348288076,0.996015348288076,0.749999999999823,0.512031729968786,0.512031729968786,20.66
4,41,0.996392972242157,0.996196222455404,0.072289156626506,0.072289156626506,0.072289156626506,0.999983537197702,0.999983537197702,0.072289156626506,0.947368421052753,0.99621143784954,0.99621143784954,0.947368421052753,0.536136346912104,0.536136346912104,37.332
4,61,0.996392972242157,0.996081453305351,0.0401606425702811,0.0401606425702811,0.0401606425702811,1,1,0.0401606425702811,1,0.996080810731035,0.996080810731035,1,0.520080321285141,0.520080321285141,50.4929999999999
4,81,0.996376578799534,0.996065057712487,0.036144578313253,0.036144578313253,0.036144578313253,1,1,0.036144578313253,1,0.996064476985389,0.996064476985389,1,0.518072289156627,0.518072289156627,65.978
4,101,0.996376576111644,0.995950288562434,0.00803212851405622,0.00803212851405622,0.00803212851405622,1,1,0.00803212851405622,1,0.99595015576324,0.99595015576324,1,0.504016064257028,0.504016064257028,78.2369999999999
4,121,0.996376578799534,0.996130640083945,0.0562248995983936,0.0562248995983936,0.0562248995983936,0.999983537197702,0.999983537197702,0.0562248995983936,0.933333333333484,0.996146087869197,0.996146087869197,0.933333333333484,0.528104218398048,0.528104218398048,102.231
4,141,0.996376578799534,0.996081453305351,0.0401606425702811,0.0401606425702811,0.0401606425702811,1,1,0.0401606425702811,1,0.996080810731035,0.996080810731035,1,0.520080321285141,0.520080321285141,113.46
4,161,0.996376578799534,0.996081453305351,0.0401606425702811,0.0401606425702811,0.0401606425702811,1,1,0.0401606425702811,1,0.996080810731035,0.996080810731035,1,0.520080321285141,0.520080321285141,128.646
4,181,0.996376578799534,0.996081453305351,0.0401606425702811,0.0401606425702811,0.0401606425702811,1,1,0.0401606425702811,1,0.996080810731035,0.996080810731035,1,0.520080321285141,0.520080321285141,144.809
4,201,0.996376578799534,0.996081453305351,0.0401606425702811,0.0401606425702811,0.0401606425702811,1,1,0.0401606425702811,1,0.996080810731035,0.996080810731035,1,0.520080321285141,0.520080321285141,158.617
7,1,0.992014847847552,0.992260899506468,0.113122171945701,0.113122171945701,0.113122171945701,0.995458135860979,0.995458135860979,0.113122171945701,0.0830564784053149,0.99677036646454,0.99677036646454,0.0830564784053149,0.55429015390334,0.55429015390334,3.98400000000015
7,21,0.995933626549434,0.996327206545443,0,0,0,0.999950631911532,0.999950631911532,0,0,0.996376217492539,0.996376217492539,0,0.499975315955766,0.499975315955766,19.192
7,41,0.99593362789371,0.996474774139599,0.0633484162895928,0.0633484162895928,0.0633484162895928,0.999868351764086,0.999868351764086,0.0633484162895928,0.636363636363694,0.996604720586547,0.996604720586547,0.636363636363694,0.53160838402684,0.53160838402684,37.954
7,61,0.995917231763196,0.996425584941547,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.999835439705108,0.999835439705108,0.0588235294117647,0.565217391304284,0.99658826231014,0.99658826231014,0.565217391304284,0.529329484558436,0.529329484558436,56.3530000000001
7,81,0.995917230418921,0.996359999344144,0,0,0,0.999983543970511,0.999983543970511,0,0,0.996376336328458,0.996376336328458,0,0.499991771985255,0.499991771985255,65.2829999999999
