data,hora,valor
20240323,1600,299.711
20240323,1700,299.653
20240323,1800,299.59
20240323,1900,299.535
20240323,2000,299.471
20240323,2100,299.409
20240323,2200,299.362
20240323,2300,299.306
20240324,0000,299.253
20240324,0100,299.202
20240324,0200,299.151
20240324,0300,299.099
20240324,0400,299.05
20240324,0500,299.004
20240324,0600,298.96
20240324,0700,298.918
20240324,0800,298.876
20240324,0900,298.836
20240324,1000,298.784
20240324,1100,298.752
20240324,1200,298.728
20240324,1300,298.714
20240324,1400,298.693
20240324,1500,298.683
20240324,1600,298.672
20240324,1700,298.668
20240324,1800,298.654
20240324,1900,298.635
20240324,2000,298.612
20240324,2100,298.585
20240324,2200,298.556
20240324,2300,298.526
20240325,0000,298.498
20240325,0100,298.468
20240325,0200,298.438
20240325,0300,298.408
20240325,0400,298.377
20240325,0500,298.346
20240325,0600,298.312
20240325,0700,298.278
20240325,0800,298.243
20240325,0900,298.206
20240325,1000,298.186
20240325,1100,298.168
20240325,1200,298.163
20240325,1300,298.162
20240325,1400,298.226
20240325,1500,298.341
20240325,1600,298.37
20240325,1700,298.455
20240325,1800,298.555
20240325,1900,298.594
20240325,2000,298.609
20240325,2100,298.591
20240325,2200,298.539
20240325,2300,298.516
20240326,0000,298.491
20240326,0100,298.462
20240326,0200,298.434
20240326,0300,298.407
20240326,0400,298.38
20240326,0500,298.351
20240326,0600,298.32
20240326,0700,298.292
20240326,0800,298.265
20240326,0900,298.24
20240326,1000,298.22
20240326,1100,298.205
20240326,1200,298.203
20240326,1300,298.353
20240326,1400,298.524
20240326,1500,298.632
20240326,1600,298.648
20240326,1700,298.681
20240326,1800,298.684
20240326,1900,298.674
20240326,2000,298.652
20240326,2100,298.621
20240326,2200,298.592
20240326,2300,298.563
20240327,0000,298.534
20240327,0100,298.506
20240327,0200,298.477
20240327,0300,298.449
20240327,0400,298.417
20240327,0500,298.384
20240327,0600,298.354
20240327,0700,298.322
20240327,0800,298.287
20240327,0900,298.257
20240327,1000,298.214
20240327,1100,298.194
20240327,1200,298.192
20240327,1300,298.238
20240327,1400,298.383
20240327,1500,298.548
20240327,1600,298.702
20240327,1700,298.754
20240327,1800,298.781
20240327,1900,298.773
20240327,2000,298.752
20240327,2100,298.717
20240327,2200,298.648
20240327,2300,298.61
20240328,0000,298.574
20240328,0100,298.538
20240328,0200,298.5
20240328,0300,298.464
20240328,0400,298.429
20240328,0500,298.393
20240328,0600,298.356
20240328,0700,298.319
20240328,0800,298.282
20240328,0900,298.245
20240328,1000,298.211
20240328,1100,298.192
20240328,1200,298.188
20240328,1300,298.2
20240328,1400,298.252
20240328,1500,298.275
20240328,1600,298.294
20240328,1700,298.298
20240328,1800,298.302
20240328,1900,298.3
20240328,2000,298.29
20240328,2100,298.269
20240328,2200,298.219
20240328,2300,298.193
20240329,0000,298.168
20240329,0100,298.145
20240329,0200,298.122
20240329,0300,298.1
20240329,0400,298.077
20240329,0500,298.054
20240329,0600,298.031
20240329,0700,298.009
20240329,0800,297.984
20240329,0900,297.958
20240329,1000,297.925
20240329,1100,297.938
20240329,1200,297.965
20240329,1300,298.036
20240329,1400,298.117
20240329,1500,298.269
20240329,1600,298.409
20240329,1700,298.499
20240329,1800,298.526
20240329,1900,298.512
20240329,2000,298.508
20240329,2100,298.492
20240329,2200,298.52
20240329,2300,298.503
20240330,0000,298.488
20240330,0100,298.472
20240330,0200,298.455
20240330,0300,298.437
20240330,0400,298.417
20240330,0500,298.395
20240330,0600,298.374
20240330,0700,298.349
20240330,0800,298.327
20240330,0900,298.301
20240330,1000,298.228
20240330,1100,298.224
20240330,1200,298.223
20240330,1300,298.211
20240330,1400,298.23
20240330,1500,298.248
20240330,1600,298.291
20240330,1700,298.351
20240330,1800,298.359
20240330,1900,298.354
20240330,2000,298.34
20240330,2100,298.309
20240330,2200,298.312
20240330,2300,298.281
20240331,0000,298.248
20240331,0100,298.209
20240331,0200,298.17
20240331,0300,298.124
20240331,0400,298.077
20240331,0500,298.027
20240331,0600,297.977
20240331,0700,297.923
20240331,0800,297.867
20240331,0900,297.811
20240331,1000,297.759
20240331,1100,297.827
20240331,1200,297.971
20240331,1300,298.149
20240331,1400,298.33
20240331,1500,298.49
20240331,1600,298.617
20240331,1700,298.73
20240331,1800,298.801
20240331,1900,298.839
20240331,2000,298.833
20240331,2100,298.792
20240331,2200,298.76
20240331,2300,298.71
20240401,0000,298.659
20240401,0100,298.615
20240401,0200,298.573
20240401,0300,298.531
20240401,0400,298.488
20240401,0500,298.445
20240401,0600,298.4
20240401,0700,298.352
20240401,0800,298.304
20240401,0900,298.252
20240401,1000,298.204
20240401,1100,298.213
20240401,1200,298.384
20240401,1300,298.662
20240401,1400,298.947
20240401,1500,299.15
20240401,1600,299.227
20240401,1700,299.212
20240401,1800,299.137
20240401,1900,299.121
20240401,2000,299.098
20240401,2100,299.03
20240401,2200,298.94
20240401,2300,298.873
20240402,0000,298.809
20240402,0100,298.75
20240402,0200,298.691
20240402,0300,298.634
20240402,0400,298.578
20240402,0500,298.519
20240402,0600,298.461
20240402,0700,298.403
20240402,0800,298.343
20240402,0900,298.285
20240402,1000,298.273
20240402,1100,298.336
20240402,1200,298.513
20240402,1300,298.71
20240402,1400,298.985
20240402,1500,299.358
20240402,1600,299.77
20240402,1700,299.906
20240402,1800,299.849
20240402,1900,299.715
20240402,2000,299.717
20240402,2100,299.677
20240402,2200,299.658
20240402,2300,299.617
20240403,0000,299.573
20240403,0100,299.527
20240403,0200,299.482
20240403,0300,299.436
20240403,0400,299.388
20240403,0500,299.337
20240403,0600,299.283
20240403,0700,299.228
20240403,0800,299.171
20240403,0900,299.112
20240403,1000,299.059
20240403,1100,299.083
20240403,1200,299.338
20240403,1300,299.63
20240403,1400,299.785
20240403,1500,299.882
20240403,1600,299.948
20240403,1700,299.984
20240403,1800,299.956
20240403,1900,299.868
20240403,2000,299.825
20240403,2100,299.763
20240403,2200,299.779
20240403,2300,299.705
20240404,0000,299.636
20240404,0100,299.574
20240404,0200,299.517
20240404,0300,299.463
20240404,0400,299.406
20240404,0500,299.352
20240404,0600,299.297
20240404,0700,299.242
20240404,0800,299.186
20240404,0900,299.129
20240404,1000,299.131
20240404,1100,299.155
20240404,1200,299.29
20240404,1300,299.472
20240404,1400,299.841
20240404,1500,300.46
20240404,1600,300.596
20240404,1700,300.538
20240404,1800,300.344
20240404,1900,300.126
20240404,2000,300.098
20240404,2100,300.034
20240404,2200,299.988
20240404,2300,299.909
20240405,0000,299.834
20240405,0100,299.762
20240405,0200,299.697
20240405,0300,299.634
20240405,0400,299.569
20240405,0500,299.503
20240405,0600,299.439
20240405,0700,299.375
20240405,0800,299.316
20240405,0900,299.264
20240405,1000,299.212
20240405,1100,299.267
20240405,1200,299.518
20240405,1300,299.958
20240405,1400,300.371
20240405,1500,300.484
20240405,1600,300.448
20240405,1700,300.35
20240405,1800,300.227
20240405,1900,300.094
20240405,2000,300.063
20240405,2100,299.996
20240405,2200,299.915
20240405,2300,299.843
20240406,0000,299.773
20240406,0100,299.707
20240406,0200,299.643
20240406,0300,299.58
20240406,0400,299.517
20240406,0500,299.46
20240406,0600,299.401
20240406,0700,299.344
20240406,0800,299.281
20240406,0900,299.223
20240406,1000,299.155
20240406,1100,299.14
20240406,1200,299.306
20240406,1300,299.515
20240406,1400,299.722
20240406,1500,299.823
20240406,1600,299.86
20240406,1700,299.868
20240406,1800,299.846
20240406,1900,299.798
20240406,2000,299.745
20240406,2100,299.674
20240406,2200,299.599
20240406,2300,299.529
20240407,0000,299.463
20240407,0100,299.403
20240407,0200,299.345
20240407,0300,299.284
20240407,0400,299.228
20240407,0500,299.172
20240407,0600,299.115
20240407,0700,299.06
20240407,0800,299.009
20240407,0900,298.956
20240407,1000,298.914
20240407,1100,298.892
20240407,1200,299.025
20240407,1300,299.201
20240407,1400,299.431
20240407,1500,299.529
20240407,1600,299.543
20240407,1700,299.495
20240407,1800,299.398
20240407,1900,299.369
20240407,2000,299.321
20240407,2100,299.267
20240407,2200,299.195
20240407,2300,299.141
20240408,0000,299.084
20240408,0100,299.031
20240408,0200,298.979
20240408,0300,298.93
20240408,0400,298.88
20240408,0500,298.827
20240408,0600,298.772
20240408,0700,298.716
20240408,0800,298.658
20240408,0900,298.597
20240408,1000,298.557
20240408,1100,298.606
20240408,1200,298.786
20240408,1300,299.015
20240408,1400,299.219
20240408,1500,299.404
20240408,1600,299.531
20240408,1700,299.606
20240408,1800,299.597
20240408,1900,299.545
20240408,2000,299.537
20240408,2100,299.496
20240408,2200,299.452
20240408,2300,299.407
20240409,0000,299.363
20240409,0100,299.322
20240409,0200,299.283
20240409,0300,299.24
20240409,0400,299.192
20240409,0500,299.141
20240409,0600,299.09
20240409,0700,299.039
20240409,0800,298.988
20240409,0900,298.936
20240409,1000,298.852
20240409,1100,298.832
20240409,1200,298.87
20240409,1300,299.022
20240409,1400,299.178
20240409,1500,299.234
20240409,1600,299.243
20240409,1700,299.238
20240409,1800,299.249
20240409,1900,299.254
20240409,2000,299.233
20240409,2100,299.199
20240409,2200,299.185
20240409,2300,299.149
20240410,0000,299.113
20240410,0100,299.073
20240410,0200,299.028
20240410,0300,298.977
20240410,0400,298.924
20240410,0500,298.868
20240410,0600,298.809
20240410,0700,298.749
